name,community
259.8_132.16,3
259.86_134.47,3
259.97_49.03,3
260.23_146.8,3
260.25_102.4,3
261.22_105.8,3
261.34_61.33,3
261.76_93.59,3
261.9_78.89,2
262.09_138.28,3
262.16_106.63,3
262.25_114.1,3
262.3_103.22,3
262.32_54.26,3
262.37_129.86,3
262.47_50.41,3
262.51_140.76,3
262.8_143.64,3
262.91_98.59,3
263_117.28,3
263.12_103.5,3
263.14_104.52,3
263.26_109.1,3
263.34_103.95,3
263.36_47.7,3
263.67_147.38,3
264.05_124.95,3
264.31_135.11,3
264.34_60.34,3
264.52_119.85,3
264.54_122.51,3
264.95_46.88,3
265.03_54.32,3
265.22_129.68,3
265.28_138.38,3
265.3_87.75,3
265.51_131.97,3
265.58_104.23,3
266.2_94.54,3
266.24_53.69,5
266.5_144.95,3
266.53_51.8,3
266.58_111.19,3
266.61_128.54,3
266.65_122.33,3
266.7_46.86,3
266.71_89.78,3
267.06_147.74,3
267.08_107.87,3
267.2_101.8,3
267.29_57.56,3
267.42_131.77,3
268.12_134.07,3
268.13_43.89,3
268.31_109.59,3
268.64_46.06,3
269.01_120.3,3
269.04_141.24,3
269.15_40.64,3
269.23_49.5,3
269.25_106.62,3
269.3_61.61,3
269.3_70.36,3
269.32_86.12,3
269.46_42.7,3
269.64_126.48,1
269.87_93.43,3
269.99_101.03,3
270.15_136.69,3
270.21_116.12,3
270.22_75.84,3
270.28_96.77,3
270.7_123.48,3
270.78_64.6,3
270.99_67.09,3
271.08_111.87,3
271.14_45.63,3
271.3_108.04,3
271.31_38.89,3
271.35_146.6,5
271.36_103.79,3
271.52_83.3,3
271.71_122.68,5
271.8_50.12,3
271.85_55.17,3
272.04_42.66,3
272.23_134.78,3
272.33_99.85,3
272.44_73.76,3
272.54_92.03,3
272.67_106.8,3
272.97_80.16,3
273.3_60.26,3
273.36_46.29,3
273.36_95.38,3
273.49_44.59,3
273.51_119.49,3
273.65_113.98,3
273.68_132.1,3
273.9_109.59,3
274.15_44.01,3
274.17_100.99,5
274.32_50.66,3
274.4_101.68,3
274.42_47.08,3
274.47_62.33,3
274.51_45.7,3
274.55_55.62,3
274.6_121.83,3
274.61_104.16,3
275.16_48.7,3
275.4_52.21,3
275.48_71.59,3
275.61_93.66,3
275.65_42.61,3
275.72_112.22,3
275.72_45.79,3
275.85_37.83,3
275.86_114.68,3
275.93_87.21,3
276.07_99.84,3
276.39_149.21,3
276.49_118.82,3
276.51_125.48,3
276.51_145.72,3
276.84_111.94,3
276.87_40.51,3
276.9_110.96,3
276.99_111.7,3
277.05_81.99,3
277.09_83.33,3
277.11_66.01,3
277.2_107.35,3
277.22_58.25,3
277.25_44.4,3
277.44_139.32,3
277.54_47.88,3
277.57_116.03,3
277.9_62.1,3
278.01_84.93,3
278.33_75.4,3
278.48_37.78,3
278.49_118.2,3
278.49_53.66,3
278.52_130.36,3
278.67_68.87,3
279.01_120.67,3
279.11_49.39,3
279.26_54.5,3
279.7_59.74,3
279.73_66.54,3
280.01_70.16,3
280.03_72.09,3
280.27_98.7,3
280.34_70.39,3
280.44_55.52,5
280.56_41.24,3
280.6_86.57,3
280.61_112.64,3
280.79_79.02,3
280.88_146.07,2
280.95_93.83,3
280.97_110.83,3
281.1_68.08,3
281.15_46.4,3
281.2_109.19,3
281.41_57.31,3
281.43_62.87,3
281.44_49.97,3
281.56_128.72,3
281.7_103.99,3
281.77_65.27,3
281.86_90.15,3
281.96_70.09,3
281.97_107.45,3
282.03_115.92,3
282.11_119.36,3
282.49_84.02,3
282.53_148.1,3
282.67_54.69,3
282.77_68.34,3
282.91_71.56,3
283.01_119.71,3
283.04_61.24,3
283.05_122.77,3
283.05_96.14,3
283.1_135.64,3
283.36_80.31,3
283.45_70.3,3
283.77_110.98,3
283.95_139.27,3
283.99_72.53,3
284.04_68.71,3
284.14_65.87,3
284.15_91.24,3
284.3_107.01,3
284.33_132,3
284.54_102.82,3
284.61_74.28,3
284.68_128.22,3
285.01_49.69,3
285.06_87.06,3
285.09_97.89,3
285.2_108.69,3
285.26_53.52,3
285.32_82.16,3
285.43_146.29,3
285.48_134.58,3
285.52_102.55,5
285.59_118.89,3
285.59_84.17,3
285.61_57.53,3
285.97_94.04,3
285.99_68.46,3
286_96.19,3
286.11_51.46,3
286.14_70.29,3
286.47_143.08,2
286.49_90.24,3
286.51_126.37,3
286.59_63.73,3
286.67_83.34,3
286.69_74.99,3
286.9_111.82,3
286.97_89.38,3
287.15_84.39,3
287.16_92.17,3
287.38_60.16,3
287.49_87.9,3
287.53_138.6,3
287.56_102.35,3
287.65_51.4,3
287.72_101.4,3
287.82_114.89,3
287.82_97.56,3
287.87_50.75,5
287.92_106.84,3
287.93_80.63,3
287.96_49.49,5
287.96_66.92,3
288.23_103.93,3
288.49_51.1,3
288.49_91.82,3
288.58_76.89,3
288.6_65.28,3
288.6_89.81,3
288.74_135.04,3
288.74_70.08,3
